"tree1","tree2","pearson_r","decade","Site.x","Species.x","Region","hilo","Neighborhood.x","DBH","con_freq","con_freqBA","Site.y","Neighborhood.y","Species.y","dist"
"18pj3_2","18pj3_1",0.530557769838797,1960,"pp","PJ","SENF","high",3,104.4,0.0869565217391304,0.161943521934499,"pp",3,"PJ",35.0680807199751
"18pl3_1","18pj3_1",0.181050123824712,1960,"pp","PL","SENF","high",3,68.2,0.0416666666666667,0.0647533284430921,"pp",3,"PJ",42.9264382695895
"18pl3_1","18pj3_2",0.607695889768922,1960,"pp","PL","SENF","high",3,68.2,0.0416666666666667,0.0647533284430921,"pp",3,"PJ",24.7066086667959
"18pl1_2","18pl1_1",0.551268856911629,1960,"pp","PL","SENF","high",1,116.6,0.125,0.377469348418262,"pp",1,"PL",13.1835973410616
"18pl1_3","18pl1_1",0.535114388702832,1960,"pp","PL","SENF","high",1,111.8,0.0731707317073171,0.34725476137367,"pp",1,"PL",16.5078145208621
"18pl1_3","18pl1_2",0.653930491087916,1960,"pp","PL","SENF","high",1,111.8,0.0731707317073171,0.34725476137367,"pp",1,"PL",6.85472717022882
"17ac1_3","17ac1_2",0.443315999418937,1970,"lc","AC","SENF","low",1,56.6,0.222222222222222,0.116727983720103,"lc",1,"AC",13.1230450350183
"17pj1_1","17ac1_2",-0.0301396044555727,1970,"lc","PJ","SENF","low",1,68.4,0.125,0.11143291579176,"lc",1,"AC",16.7517066810824
"17pj1_2","17ac1_2",0.464967309428815,1970,"lc","PJ","SENF","low",1,66.6,0.428571428571429,0.490158062430205,"lc",1,"AC",26.2846545813705
"17pj1_3","17ac1_2",-0.453054570607082,1970,"lc","PJ","SENF","low",1,44.4,0.714285714285714,0.607982258013631,"lc",1,"AC",41.3335668655928
"17pl1_1","17ac1_2",0.178571213410644,1970,"lc","PL","SENF","low",1,122.9,0.333333333333333,0.677225472005439,"lc",1,"AC",16.4193920473628
"17pl1_2","17ac1_2",0.727363038459376,1970,"lc","PL","SENF","low",1,60.2,0.375,0.67954120382477,"lc",1,"AC",20.0593716766403
"17pl1_3","17ac1_2",0.14588076383489,1970,"lc","PL","SENF","low",1,99.8,0.5,0.68435793636973,"lc",1,"AC",9.1713343570813
"17pl1_4","17ac1_2",0.602745803821645,1970,"lc","PL","SENF","low",1,26,0.285714285714286,0.412763081293178,"lc",1,"AC",25.3238121055001
